[ 2012-03-11T17:42:59+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000405s ]
[ 2012-03-11T17:42:59+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000290s ]
[ 2012-03-11T17:42:59+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000554s ]
[ 2012-03-11T17:42:59+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001856s ]
[ 2012-03-11T17:42:59+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-03-11T17:42:59+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002362s ]
[ 2012-03-11T17:42:59+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002448s ]
[ 2012-03-11T17:43:28+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:43:28+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000495s ]
[ 2012-03-11T17:43:28+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000578s ]
[ 2012-03-11T17:43:28+08:00 ] / | NOTIC: [4096] Object of class IndexAction could not be converted to string App.class.php 第 99 行.
[ 2012-03-11T17:43:28+08:00 ] / | NOTIC: [8] Undefined variable: action App.class.php 第 125 行.
[ 2012-03-11T17:43:29+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:43:29+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000534s ]
[ 2012-03-11T17:43:29+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000621s ]
[ 2012-03-11T17:43:29+08:00 ] / | NOTIC: [4096] Object of class IndexAction could not be converted to string App.class.php 第 99 行.
[ 2012-03-11T17:43:29+08:00 ] / | NOTIC: [8] Undefined variable: action App.class.php 第 125 行.
[ 2012-03-11T17:43:29+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:43:29+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000498s ]
[ 2012-03-11T17:43:29+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000581s ]
[ 2012-03-11T17:43:29+08:00 ] / | NOTIC: [4096] Object of class IndexAction could not be converted to string App.class.php 第 99 行.
[ 2012-03-11T17:43:29+08:00 ] / | NOTIC: [8] Undefined variable: action App.class.php 第 125 行.
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ route_check ] --START--
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Run CheckRoute Behavior [ RunTime:0.000721s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ route_check ] --END-- [ RunTime:0.000811s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000526s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000588s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | NOTIC: [4096] Object of class HomeAction could not be converted to string App.class.php 第 99 行.
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | NOTIC: [8] Undefined variable: action App.class.php 第 125 行.
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ view_template ] --START--
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Run LocationTemplate Behavior [ RunTime:0.000321s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ view_template ] --END-- [ RunTime:0.000377s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ view_parse ] --START--
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Run ParseTemplate Behavior [ RunTime:0.009656s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009737s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ view_filter ] --START--
